support,itemsets
0.48412106666666666,frozenset({'电子产品'})
0.14288482222222224,frozenset({'现金'})
0.4873624888888889,frozenset({'服装'})
0.1428494,frozenset({'信用卡'})
0.14282666666666666,frozenset({'微信支付'})
0.2510300888888889,frozenset({'家居'})
0.1367648,frozenset({'办公'})
0.4846031111111111,frozenset({'食品'})
0.14283148888888889,frozenset({'储蓄卡'})
0.13304564444444444,frozenset({'运动户外'})
0.13480791111111112,frozenset({'母婴'})
0.14297895555555556,frozenset({'银联'})
0.14278504444444445,frozenset({'云闪付'})
0.13121153333333332,frozenset({'汽车用品'})
0.14284362222222222,frozenset({'支付宝'})
0.20029455555555556,frozenset({'玩具'})
0.22116884444444446,"frozenset({'电子产品', '食品'})"
0.2224399111111111,"frozenset({'电子产品', '服装'})"
0.09896693333333334,"frozenset({'电子产品', '服装', '食品'})"
0.06919946666666667,"frozenset({'电子产品', '现金'})"
0.06964277777777778,"frozenset({'服装', '现金'})"
0.0286294,"frozenset({'玩具', '现金'})"
0.0692352,"frozenset({'食品', '现金'})"
0.035866133333333335,"frozenset({'家居', '现金'})"
0.03182077777777778,"frozenset({'电子产品', '服装', '现金'})"
0.03160248888888889,"frozenset({'电子产品', '食品', '现金'})"
0.014147866666666667,"frozenset({'电子产品', '服装', '食品', '现金'})"
0.013012066666666667,"frozenset({'玩具', '服装', '现金'})"
0.012922644444444445,"frozenset({'玩具', '电子产品', '现金'})"
0.012923244444444445,"frozenset({'玩具', '食品', '现金'})"
0.03181213333333333,"frozenset({'食品', '服装', '现金'})"
0.016318866666666668,"frozenset({'服装', '家居', '现金'})"
0.016199222222222222,"frozenset({'电子产品', '家居', '现金'})"
0.016213622222222224,"frozenset({'食品', '家居', '现金'})"
0.06960355555555556,"frozenset({'服装', '信用卡'})"
0.0358482,"frozenset({'家居', '信用卡'})"
0.06921522222222222,"frozenset({'食品', '信用卡'})"
0.028599244444444446,"frozenset({'玩具', '信用卡'})"
0.06915231111111111,"frozenset({'电子产品', '信用卡'})"
0.016287755555555554,"frozenset({'服装', '家居', '信用卡'})"
0.016209844444444444,"frozenset({'食品', '家居', '信用卡'})"
0.01618908888888889,"frozenset({'电子产品', '家居', '信用卡'})"
0.03179317777777778,"frozenset({'食品', '服装', '信用卡'})"
0.012964533333333333,"frozenset({'玩具', '服装', '信用卡'})"
0.012898444444444445,"frozenset({'玩具', '食品', '信用卡'})"
0.012877844444444444,"frozenset({'玩具', '电子产品', '信用卡'})"
0.031725333333333335,"frozenset({'电子产品', '服装', '信用卡'})"
0.03160246666666667,"frozenset({'电子产品', '食品', '信用卡'})"
0.014112355555555555,"frozenset({'电子产品', '服装', '食品', '信用卡'})"
0.0696208,"frozenset({'服装', '微信支付'})"
0.0691188,"frozenset({'电子产品', '微信支付'})"
0.069223,"frozenset({'食品', '微信支付'})"
0.03589055555555556,"frozenset({'微信支付', '家居'})"
0.028590622222222223,"frozenset({'玩具', '微信支付'})"
0.031746555555555556,"frozenset({'电子产品', '微信支付', '服装'})"
0.03156931111111111,"frozenset({'电子产品', '微信支付', '食品'})"
0.014110777777777778,"frozenset({'电子产品', '服装', '微信支付', '食品'})"
0.03180215555555556,"frozenset({'食品', '服装', '微信支付'})"
0.01632442222222222,"frozenset({'服装', '微信支付', '家居'})"
