antecedents	consequents	support	confidence	lift
现金	电子产品	0.06919946666666667	0.4843024303802114	1.0003746247086365
现金	服装	0.06964277777777778	0.48740500701652933	1.0000872412805863
现金	食品	0.0692352	0.48455251525821025	0.9998955932148581
信用卡	服装	0.06960355555555556	0.4872512979092356	0.9997718515844197
信用卡	食品	0.06921522222222222	0.4845328172342497	0.9998549454692929
信用卡	电子产品	0.06915231111111111	0.48409241558670263	0.9999408183573557
微信支付	服装	0.0696208	0.48744958924570575	1.0001787178102595
微信支付	电子产品	0.0691188	0.4839348394324122	0.9996153292077606
微信支付	食品	0.069223	0.48466439507094855	1.00012646216756
储蓄卡	食品	0.06921386666666667	0.4845840872001925	0.9999607433165772
储蓄卡	电子产品	0.06914757777777777	0.48411998163492426	0.9999977587594981
储蓄卡	服装	0.06960962222222222	0.48735487366075675	0.9999843746116992
银联	食品	0.06932666666666666	0.484873220658891	1.000557383024555
银联	电子产品	0.06923322222222222	0.48421966682587164	1.0002036683920488
银联	服装	0.06969533333333333	0.48745168869451333	1.0001830255870283
云闪付	食品	0.06918255555555555	0.4845224219716755	0.999833494384197
云闪付	服装	0.06955906666666667	0.4871593305679228	0.9995831473993223
云闪付	电子产品	0.0691282	0.48414174095730844	1.0000427047944518
支付宝	食品	0.0692066	0.4844920544813341	0.9997708297218266
支付宝	电子产品	0.0691414888888889	0.4840362335626388	0.9998247688236086
支付宝	服装	0.06963133333333334	0.4874654692318547	1.0002113013317881
