support,itemsets
0.4872285037037037,服装
0.48423505925925925,电子产品
0.48462228148148145,食品
0.2511726962962963,家居
0.20028917037037036,玩具
0.13113759259259258,汽车用品
0.13674442222222222,办公
0.13483200740740742,母婴
0.13299197037037036,运动户外
0.2224372888888889,"服装,电子产品"
0.2212706222222222,"电子产品,食品"
0.09896354074074074,"服装,电子产品,食品"
0.22260401481481482,"服装,食品"
0.11361722962962963,"家居,食品"
0.1134786,"家居,电子产品"
0.11419311851851852,"家居,服装"
0.049568362962962964,"家居,服装,食品"
0.04923488888888889,"家居,电子产品,食品"
0.04949925925925926,"家居,服装,电子产品"
0.09088912592592592,"服装,玩具"
0.09033748148148148,"玩具,食品"
0.0903066,"玩具,电子产品"
0.04611986666666667,"家居,玩具"
0.03919068888888889,"服装,玩具,食品"
0.03920419259259259,"服装,玩具,电子产品"
0.038965962962962966,"玩具,电子产品,食品"
0.058970777777777775,"汽车用品,食品"
0.05891933333333333,"汽车用品,电子产品"
0.059298222222222224,"服装,汽车用品"
0.02387171111111111,"汽车用品,玩具"
0.030053007407407406,"家居,汽车用品"
0.025439237037037037,"服装,汽车用品,食品"
0.025251503703703704,"汽车用品,电子产品,食品"
0.025399496296296297,"服装,汽车用品,电子产品"
0.06146054814814815,"办公,电子产品"
0.06185985185185185,"服装,办公"
0.061518525925925924,"办公,食品"
0.031362822222222225,"家居,办公"
0.024926607407407406,"办公,玩具"
0.026515577777777778,"服装,办公,电子产品"
0.026360362962962965,"办公,电子产品,食品"
0.026540992592592592,"服装,办公,食品"
0.06097977777777778,"服装,母婴"
0.06061509629629629,"母婴,食品"
0.060620822222222225,"母婴,电子产品"
0.03089380740740741,"家居,母婴"
0.024562614814814816,"母婴,玩具"
0.02613448888888889,"服装,母婴,食品"
0.025974948148148148,"母婴,电子产品,食品"
0.026152318518518517,"服装,母婴,电子产品"
0.059815503703703705,"运动户外,食品"
0.06017177037037037,"服装,运动户外"
0.05975159259259259,"运动户外,电子产品"
0.030470533333333334,"家居,运动户外"
0.024227651851851852,"运动户外,玩具"
0.02580462962962963,"服装,运动户外,食品"
0.02576757037037037,"服装,运动户外,电子产品"
0.02562014074074074,"运动户外,电子产品,食品"
